Client Name,Total Assistance,Total Investment,Investment Gain,Investment Grade,Condition,Estimated Jobs,Country,SME,Ownership,Status,Constituency,Sector,Business Plan Grade,Average Grade,Jobs Created
Fine Point Films Ltd,27000,275000,248000.0,0.9018181818181819,Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,SME,Local,Local,BELFAST SOUTH,INFORMATION AND COMMUNICATION,True,True,True
Fine-Tuning Asset Management Solutions,10000,10000,0.0,0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",False,False,False
Fingernails2go,43500,984000,940500.0,0.9557926829268293,Creating Jobs / Capital Investment / Business Development,15,Northern Ireland,SME,Local,Local,BELFAST SOUTH,"ARTS, ENTERTAINMENT AND RECREATION",True,True,True
Finlay Foods,7350,15000,7650.0,0.51,Developing Skills,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING,False,False,False
Finlay Foods,15000,30000,15000.0,0.5,Other,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING,False,False,False
Finmondo Limited,10000,20300,10300.0,0.5073891625615763,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES,False,False,False
Finmondo Limited,37000,93000,56000.0,0.6021505376344086,Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,SME,Local,Local,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES,False,True,True
Finmondo Limited,10000,10000,0.0,0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES,False,False,False
Finn Lough,41000,209900,168900.0,0.8046688899475941,Other,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,False,True,False
Finn Lough,4932,9864,4932.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,False,False,False
Finn Lough,30000,100000,70000.0,0.7,Other,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,False,True,False
Finn Lough,25820,112260,86440.0,0.7699982184215215,Investing in R&D,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,False,True,False
Finnebrogue Artisan,386781,1289269,902488.0,0.6999997673100028,Developing Skills,0,Northern Ireland,Non SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,True,False
Finnebrogue Artisan,1335350,19984000,18648650.0,0.9331790432345877,Creating Jobs / Capital Investment / Business Development,125,Northern Ireland,Non SME,Local,Local,SOUTH DOWN,MANUFACTURING,True,True,True
Finnebrogue Artisan,2250000,26308000,24058000.0,0.914474684506614,Creating Jobs / Capital Investment / Business Development,219,Northern Ireland,Non SME,Local,Local,SOUTH DOWN,MANUFACTURING,True,True,True
Finrone Systems Limited,2500,5000,2500.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,FOYLE,CONSTRUCTION,False,False,False
FinTrU,207160,690536,483376.0,0.7000011585203378,Developing Skills,0,Great Britain,Non SME,External,Existing,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES,False,True,False
FinTrU,960000,9766316,8806316.0,0.9017029553416047,Creating Jobs / Capital Investment / Business Development,160,Great Britain,Non SME,External,Existing,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES,True,True,True
FinTrU,1275000,16814000,15539000.0,0.9241703342452718,Creating Jobs / Capital Investment / Business Development,300,Great Britain,Non SME,External,Existing,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES,True,True,True
FinTrU,1982500,13592666,11610166.0,0.8541492890357197,Creating Jobs / Capital Investment / Business Development,305,Great Britain,Non SME,External,Existing,FOYLE,FINANCIAL AND INSURANCE ACTIVITIES,True,True,True
FinTrU,902297,3511758,2609461.0,0.7430640152311179,Developing Skills,0,Great Britain,Non SME,External,Existing,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES,False,True,False
Firefly,4900,10000,5100.0,0.51,Developing Skills,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,MANUFACTURING,False,False,False
FinTrU,7538,15076,7538.0,0.5,Developing Innovation & Technology  ,0,Great Britain,Non SME,External,Existing,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES,False,False,False
FinTrU,17735,54728,36993.0,0.6759428446133606,Investing in R&D,0,Great Britain,Non SME,External,Existing,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES,False,True,False
FinTrU,4902,24512,19610.0,0.800016318537859,Covid Support,0,Great Britain,Non SME,External,Existing,BELFAST SOUTH,FINANCIAL AND INSURANCE ACTIVITIES,False,True,False
Fir Trees Strabane,10800,36000,25200.0,0.7,Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,SME,Local,Local,WEST TYRONE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,False,True,True
Fir Trees Strabane,45280,327500,282220.0,0.8617404580152672,Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,SME,Local,Local,WEST TYRONE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,True,True,True
Fir Trees Strabane,10420,39289,28869.0,0.7347858179134108,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,WEST TYRONE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,False,True,False
